workerid, condition, stimulus, response
A2CK0OXMPOR9LE,  1, 5, 4
A2CK0OXMPOR9LE,  1, 32, 3
A2CK0OXMPOR9LE,  1, 77, 5
A2CK0OXMPOR9LE,  1, 102, 3
A2CK0OXMPOR9LE,  1, 108, 4
A2CK0OXMPOR9LE,  1, 42, 2
A2CK0OXMPOR9LE,  1, 56, 4
A2CK0OXMPOR9LE,  1, 28, 3
A2CK0OXMPOR9LE,  1, 8, 3
A2CK0OXMPOR9LE,  1, 12, 4
A2CK0OXMPOR9LE,  1, 36, 6
A2CK0OXMPOR9LE,  1, 70, 5
A2CK0OXMPOR9LE,  1, 38, 7
A2CK0OXMPOR9LE,  1, 4, 4
A2CK0OXMPOR9LE,  1, 104, 3
A2CK0OXMPOR9LE,  1, 97, 4
A2CK0OXMPOR9LE,  1, 88, 5
A2CK0OXMPOR9LE,  1, 105, 3
A2CK0OXMPOR9LE,  1, 96, 3
A2CK0OXMPOR9LE,  1, 61, 4
A2CK0OXMPOR9LE,  1, 29, 5
A2CK0OXMPOR9LE,  1, 78, 1
A2CK0OXMPOR9LE,  1, 79, 5
A2CK0OXMPOR9LE,  1, 95, 4
A2CK0OXMPOR9LE,  1, 91, 5
A2CK0OXMPOR9LE,  1, 41, 6
A2CK0OXMPOR9LE,  1, 44, 2
A2CK0OXMPOR9LE,  1, 59, 1
A2CK0OXMPOR9LE,  1, 72, 3
A2CK0OXMPOR9LE,  1, 76, 3
A2CK0OXMPOR9LE,  1, 49, 4
A2CK0OXMPOR9LE,  1, 83, 5
A2CK0OXMPOR9LE,  1, 65, 5
A2CK0OXMPOR9LE,  1, 81, 2
A2CK0OXMPOR9LE,  1, 30, 3
A2CK0OXMPOR9LE,  1, 11, 4
A2CK0OXMPOR9LE,  1, 3, 5
A2CK0OXMPOR9LE,  1, 101, 4
A2CK0OXMPOR9LE,  1, 25, 2
A2CK0OXMPOR9LE,  1, 98, 3
A2CK0OXMPOR9LE,  1, 9, 2
A2CK0OXMPOR9LE,  1, 53, 1
A2CK0OXMPOR9LE,  1, 90, 3
A2CK0OXMPOR9LE,  1, 19, 2
A2CK0OXMPOR9LE,  1, 103, 2
A2CK0OXMPOR9LE,  1, 10, 1
A2CK0OXMPOR9LE,  1, 51, 5
A2CK0OXMPOR9LE,  1, 63, 6
A2CK0OXMPOR9LE,  1, 50, 4
A2CK0OXMPOR9LE,  1, 60, 1
A2CK0OXMPOR9LE,  1, 40, 3
A2CK0OXMPOR9LE,  1, 23, 4
A2CK0OXMPOR9LE,  1, 15, 3
A2CK0OXMPOR9LE,  1, 55, 1
A2CK0OXMPOR9LE,  1, 100, 3
