workerid, condition, stimulus, ground_truth, response, correct, rt
A38HFMRXB5Q13M,  150, 077, 0, 0, 1, 1195
A38HFMRXB5Q13M,  150, 084, 0, 0, 1, 1337
A38HFMRXB5Q13M,  150, 030, 1, 1, 1, 858
A38HFMRXB5Q13M,  150, 029, 1, 1, 1, 858
A38HFMRXB5Q13M,  150, 091, 0, 1, 0, 1044
A38HFMRXB5Q13M,  150, 013, 1, 1, 1, 944
A38HFMRXB5Q13M,  150, 021, 1, 1, 1, 1155
A38HFMRXB5Q13M,  150, 081, 0, 0, 1, 1175
A38HFMRXB5Q13M,  150, 004, 1, 1, 1, 1057
A38HFMRXB5Q13M,  150, 094, 0, 1, 0, 935
A38HFMRXB5Q13M,  150, 092, 0, 0, 1, 1221
A38HFMRXB5Q13M,  150, 032, 1, 0, 0, 1464
A38HFMRXB5Q13M,  150, 001, 1, 1, 1, 1190
A38HFMRXB5Q13M,  150, 040, 1, 0, 0, 1250
A38HFMRXB5Q13M,  150, 024, 1, 1, 1, 1081
A38HFMRXB5Q13M,  150, 062, 0, 0, 1, 951
A38HFMRXB5Q13M,  150, 072, 0, 1, 0, 1081
A38HFMRXB5Q13M,  150, 053, 0, 1, 0, 1159
A38HFMRXB5Q13M,  150, 007, 1, 0, 0, 1007
A38HFMRXB5Q13M,  150, 039, 1, 1, 1, 1039
A38HFMRXB5Q13M,  150, 079, 0, 0, 1, 1126
A38HFMRXB5Q13M,  150, 087, 0, 1, 0, 1108
A38HFMRXB5Q13M,  150, 085, 0, 0, 1, 1303
A38HFMRXB5Q13M,  150, 028, 1, 1, 1, 1016
A38HFMRXB5Q13M,  150, 026, 1, 1, 1, 788
A38HFMRXB5Q13M,  150, 069, 0, 1, 0, 918
A38HFMRXB5Q13M,  150, 060, 0, 0, 1, 838
A38HFMRXB5Q13M,  150, 041, 1, 1, 1, 1373
A38HFMRXB5Q13M,  150, 020, 1, 0, 0, 944
A38HFMRXB5Q13M,  150, 088, 0, 1, 0, 1023
A38HFMRXB5Q13M,  150, 036, 1, 1, 1, 867
A38HFMRXB5Q13M,  150, 064, 0, 1, 0, 845
A38HFMRXB5Q13M,  150, 086, 0, 0, 1, 793
A38HFMRXB5Q13M,  150, 012, 1, 1, 1, 919
A38HFMRXB5Q13M,  150, 033, 1, 1, 1, 854
A38HFMRXB5Q13M,  150, 003, 1, 1, 1, 830
A38HFMRXB5Q13M,  150, 070, 0, 1, 0, 844
A38HFMRXB5Q13M,  150, 066, 0, 0, 1, 777
A38HFMRXB5Q13M,  150, 031, 1, 0, 0, 1475
A38HFMRXB5Q13M,  150, 080, 0, 1, 0, 1425
A38HFMRXB5Q13M,  150, 047, 1, 1, 1, 960
A38HFMRXB5Q13M,  150, 037, 1, 1, 1, 1043
A38HFMRXB5Q13M,  150, 057, 0, 1, 0, 960
A38HFMRXB5Q13M,  150, 043, 1, 1, 1, 1079
A38HFMRXB5Q13M,  150, 089, 0, 1, 0, 802
A38HFMRXB5Q13M,  150, 061, 0, 1, 0, 1232
A38HFMRXB5Q13M,  150, 035, 1, 1, 1, 1170
A38HFMRXB5Q13M,  150, 056, 0, 0, 1, 1450
A38HFMRXB5Q13M,  150, 022, 1, 1, 1, 1119
A38HFMRXB5Q13M,  150, 017, 1, 1, 1, 1025
A38HFMRXB5Q13M,  150, 023, 1, 1, 1, 1106
A38HFMRXB5Q13M,  150, 054, 0, 1, 0, 799
A38HFMRXB5Q13M,  150, 068, 0, 0, 1, 1309
A38HFMRXB5Q13M,  150, 071, 0, 1, 0, 1203
A38HFMRXB5Q13M,  150, 046, 1, 0, 0, 1507
A38HFMRXB5Q13M,  150, 090, 0, 0, 1, 1476
A38HFMRXB5Q13M,  150, 015, 1, 0, 0, 1780
A38HFMRXB5Q13M,  150, 042, 1, 1, 1, 1022
A38HFMRXB5Q13M,  150, 067, 0, 0, 1, 1479
A38HFMRXB5Q13M,  150, 076, 0, 0, 1, 1184
A38HFMRXB5Q13M,  150, 059, 0, 0, 1, 1902
A38HFMRXB5Q13M,  150, 051, 0, 1, 0, 1462
A38HFMRXB5Q13M,  150, 016, 1, 1, 1, 2493
A38HFMRXB5Q13M,  150, 014, 1, 1, 1, 1344
A38HFMRXB5Q13M,  150, 049, 0, 0, 1, 1507
A38HFMRXB5Q13M,  150, 006, 1, 1, 1, 1527
A38HFMRXB5Q13M,  150, 027, 1, 1, 1, 1342
A38HFMRXB5Q13M,  150, 063, 0, 1, 0, 1126
A38HFMRXB5Q13M,  150, 075, 0, 0, 1, 1322
A38HFMRXB5Q13M,  150, 055, 0, 1, 0, 1263
A38HFMRXB5Q13M,  150, 095, 0, 0, 1, 1222
A38HFMRXB5Q13M,  150, 093, 0, 1, 0, 1385
A38HFMRXB5Q13M,  150, 034, 1, 1, 1, 2160
A38HFMRXB5Q13M,  150, 044, 1, 1, 1, 1273
A38HFMRXB5Q13M,  150, 011, 1, 0, 0, 1407
A38HFMRXB5Q13M,  150, 018, 1, 1, 1, 1429
A38HFMRXB5Q13M,  150, 002, 1, 1, 1, 1554
A38HFMRXB5Q13M,  150, 083, 0, 0, 1, 1487
A38HFMRXB5Q13M,  150, 050, 0, 0, 1, 1250
A38HFMRXB5Q13M,  150, 025, 1, 1, 1, 949
A38HFMRXB5Q13M,  150, 038, 1, 1, 1, 1128
A38HFMRXB5Q13M,  150, 082, 0, 1, 0, 1132
A38HFMRXB5Q13M,  150, 065, 0, 0, 1, 909
A38HFMRXB5Q13M,  150, 010, 1, 1, 1, 989
A38HFMRXB5Q13M,  150, 009, 1, 0, 0, 869
A38HFMRXB5Q13M,  150, 073, 0, 1, 0, 889
A38HFMRXB5Q13M,  150, 052, 0, 0, 1, 849
A38HFMRXB5Q13M,  150, 058, 0, 1, 0, 1047
A38HFMRXB5Q13M,  150, 096, 0, 1, 0, 1047
A38HFMRXB5Q13M,  150, 019, 1, 0, 0, 1234
A38HFMRXB5Q13M,  150, 048, 1, 0, 0, 1143
A38HFMRXB5Q13M,  150, 078, 0, 0, 1, 1478
A38HFMRXB5Q13M,  150, 074, 0, 0, 1, 1035
A38HFMRXB5Q13M,  150, 008, 1, 1, 1, 897
A38HFMRXB5Q13M,  150, 045, 1, 1, 1, 976
A38HFMRXB5Q13M,  150, 005, 1, 1, 1, 1154
ACNID00UIEL1T,  150, 082, 0, 1, 0, 1264
ACNID00UIEL1T,  150, 027, 1, 1, 1, 941
ACNID00UIEL1T,  150, 093, 0, 1, 0, 1420
ACNID00UIEL1T,  150, 084, 0, 0, 1, 943
ACNID00UIEL1T,  150, 015, 1, 1, 1, 870
ACNID00UIEL1T,  150, 080, 0, 1, 0, 1014
ACNID00UIEL1T,  150, 018, 1, 1, 1, 1691
ACNID00UIEL1T,  150, 070, 0, 0, 1, 2161
ACNID00UIEL1T,  150, 025, 1, 0, 0, 1237
ACNID00UIEL1T,  150, 055, 0, 1, 0, 937
ACNID00UIEL1T,  150, 008, 1, 1, 1, 968
ACNID00UIEL1T,  150, 087, 0, 1, 0, 2322
ACNID00UIEL1T,  150, 016, 1, 1, 1, 1263
ACNID00UIEL1T,  150, 024, 1, 1, 1, 1156
ACNID00UIEL1T,  150, 048, 1, 0, 0, 1489
ACNID00UIEL1T,  150, 042, 1, 1, 1, 1365
ACNID00UIEL1T,  150, 049, 0, 1, 0, 1207
ACNID00UIEL1T,  150, 073, 0, 0, 1, 1124
ACNID00UIEL1T,  150, 014, 1, 0, 0, 1477
ACNID00UIEL1T,  150, 023, 1, 1, 1, 1210
ACNID00UIEL1T,  150, 056, 0, 0, 1, 887
ACNID00UIEL1T,  150, 046, 1, 0, 0, 1090
ACNID00UIEL1T,  150, 051, 0, 0, 1, 1501
ACNID00UIEL1T,  150, 013, 1, 1, 1, 808
ACNID00UIEL1T,  150, 090, 0, 1, 0, 1055
ACNID00UIEL1T,  150, 068, 0, 1, 0, 1326
ACNID00UIEL1T,  150, 063, 0, 1, 0, 1130
ACNID00UIEL1T,  150, 001, 1, 0, 0, 1302
ACNID00UIEL1T,  150, 089, 0, 0, 1, 1609
ACNID00UIEL1T,  150, 061, 0, 1, 0, 1160
ACNID00UIEL1T,  150, 043, 1, 0, 0, 994
ACNID00UIEL1T,  150, 010, 1, 1, 1, 788
ACNID00UIEL1T,  150, 076, 0, 0, 1, 854
ACNID00UIEL1T,  150, 041, 1, 0, 0, 1044
ACNID00UIEL1T,  150, 085, 0, 1, 0, 1178
ACNID00UIEL1T,  150, 036, 1, 0, 0, 925
ACNID00UIEL1T,  150, 038, 1, 0, 0, 870
ACNID00UIEL1T,  150, 064, 0, 0, 1, 1428
ACNID00UIEL1T,  150, 083, 0, 1, 0, 810
ACNID00UIEL1T,  150, 045, 1, 0, 0, 958
ACNID00UIEL1T,  150, 079, 0, 1, 0, 958
ACNID00UIEL1T,  150, 096, 0, 0, 1, 1222
ACNID00UIEL1T,  150, 095, 0, 1, 0, 1084
ACNID00UIEL1T,  150, 034, 1, 1, 1, 880
ACNID00UIEL1T,  150, 031, 1, 0, 0, 1733
ACNID00UIEL1T,  150, 021, 1, 1, 1, 1162
ACNID00UIEL1T,  150, 071, 0, 1, 0, 789
ACNID00UIEL1T,  150, 066, 0, 0, 1, 1409
ACNID00UIEL1T,  150, 067, 0, 1, 0, 1209
ACNID00UIEL1T,  150, 054, 0, 0, 1, 1166
ACNID00UIEL1T,  150, 037, 1, 1, 1, 1100
ACNID00UIEL1T,  150, 059, 0, 0, 1, 1068
ACNID00UIEL1T,  150, 050, 0, 0, 1, 1179
ACNID00UIEL1T,  150, 009, 1, 1, 1, 998
ACNID00UIEL1T,  150, 078, 0, 1, 0, 779
ACNID00UIEL1T,  150, 075, 0, 1, 0, 859
ACNID00UIEL1T,  150, 006, 1, 1, 1, 789
ACNID00UIEL1T,  150, 033, 1, 1, 1, 806
ACNID00UIEL1T,  150, 094, 0, 0, 1, 1101
ACNID00UIEL1T,  150, 081, 0, 1, 0, 1356
ACNID00UIEL1T,  150, 030, 1, 1, 1, 896
ACNID00UIEL1T,  150, 026, 1, 1, 1, 848
ACNID00UIEL1T,  150, 040, 1, 1, 1, 798
ACNID00UIEL1T,  150, 077, 0, 1, 0, 1090
ACNID00UIEL1T,  150, 088, 0, 1, 0, 1359
ACNID00UIEL1T,  150, 044, 1, 1, 1, 1105
ACNID00UIEL1T,  150, 086, 0, 0, 1, 951
ACNID00UIEL1T,  150, 020, 1, 0, 0, 944
ACNID00UIEL1T,  150, 002, 1, 1, 1, 958
ACNID00UIEL1T,  150, 032, 1, 0, 0, 1285
ACNID00UIEL1T,  150, 065, 0, 1, 0, 953
ACNID00UIEL1T,  150, 074, 0, 0, 1, 1494
ACNID00UIEL1T,  150, 052, 0, 1, 0, 966
ACNID00UIEL1T,  150, 060, 0, 1, 0, 1619
ACNID00UIEL1T,  150, 004, 1, 1, 1, 1109
ACNID00UIEL1T,  150, 019, 1, 1, 1, 942
ACNID00UIEL1T,  150, 058, 0, 1, 0, 1299
ACNID00UIEL1T,  150, 072, 0, 1, 0, 770
ACNID00UIEL1T,  150, 022, 1, 1, 1, 1390
ACNID00UIEL1T,  150, 062, 0, 0, 1, 1131
ACNID00UIEL1T,  150, 091, 0, 1, 0, 1031
ACNID00UIEL1T,  150, 029, 1, 0, 0, 1380
ACNID00UIEL1T,  150, 057, 0, 1, 0, 1106
ACNID00UIEL1T,  150, 012, 1, 1, 1, 1006
ACNID00UIEL1T,  150, 028, 1, 0, 0, 895
ACNID00UIEL1T,  150, 039, 1, 1, 1, 763
ACNID00UIEL1T,  150, 069, 0, 0, 1, 1531
ACNID00UIEL1T,  150, 005, 1, 0, 0, 1368
ACNID00UIEL1T,  150, 017, 1, 1, 1, 728
ACNID00UIEL1T,  150, 003, 1, 1, 1, 1338
ACNID00UIEL1T,  150, 007, 1, 1, 1, 770
ACNID00UIEL1T,  150, 092, 0, 0, 1, 1332
ACNID00UIEL1T,  150, 053, 0, 1, 0, 1255
ACNID00UIEL1T,  150, 047, 1, 0, 0, 920
ACNID00UIEL1T,  150, 035, 1, 1, 1, 1060
ACNID00UIEL1T,  150, 011, 1, 1, 1, 1484
A2S4YDJ9UGAXFQ,  150, 022, 1, 0, 0, 941
A2S4YDJ9UGAXFQ,  150, 085, 0, 1, 0, 1917
A2S4YDJ9UGAXFQ,  150, 038, 1, 1, 1, 739
A2S4YDJ9UGAXFQ,  150, 073, 0, 0, 1, 817
A2S4YDJ9UGAXFQ,  150, 055, 0, 1, 0, 561
A2S4YDJ9UGAXFQ,  150, 050, 0, 1, 0, 1224
A2S4YDJ9UGAXFQ,  150, 090, 0, 0, 1, 1363
A2S4YDJ9UGAXFQ,  150, 005, 1, 0, 0, 1926
A2S4YDJ9UGAXFQ,  150, 058, 0, 1, 0, 1187
A2S4YDJ9UGAXFQ,  150, 023, 1, 1, 1, 1042
A2S4YDJ9UGAXFQ,  150, 056, 0, 1, 0, 1277
A2S4YDJ9UGAXFQ,  150, 081, 0, 0, 1, 1388
A2S4YDJ9UGAXFQ,  150, 044, 1, 1, 1, 2726
A2S4YDJ9UGAXFQ,  150, 088, 0, 0, 1, 2105
A2S4YDJ9UGAXFQ,  150, 092, 0, 1, 0, 1154
A2S4YDJ9UGAXFQ,  150, 013, 1, 1, 1, 1774
A2S4YDJ9UGAXFQ,  150, 027, 1, 1, 1, 945
A2S4YDJ9UGAXFQ,  150, 019, 1, 1, 1, 1033
A2S4YDJ9UGAXFQ,  150, 024, 1, 1, 1, 1398
A2S4YDJ9UGAXFQ,  150, 042, 1, 0, 0, 1176
A2S4YDJ9UGAXFQ,  150, 007, 1, 0, 0, 1292
A2S4YDJ9UGAXFQ,  150, 006, 1, 1, 1, 2829
A2S4YDJ9UGAXFQ,  150, 037, 1, 1, 1, 1145
A2S4YDJ9UGAXFQ,  150, 041, 1, 0, 0, 1298
A2S4YDJ9UGAXFQ,  150, 010, 1, 1, 1, 1012
A2S4YDJ9UGAXFQ,  150, 069, 0, 0, 1, 1073
A2S4YDJ9UGAXFQ,  150, 095, 0, 0, 1, 1427
A2S4YDJ9UGAXFQ,  150, 001, 1, 1, 1, 1492
A2S4YDJ9UGAXFQ,  150, 026, 1, 1, 1, 1295
A2S4YDJ9UGAXFQ,  150, 033, 1, 1, 1, 1435
A2S4YDJ9UGAXFQ,  150, 082, 0, 1, 0, 1926
A2S4YDJ9UGAXFQ,  150, 093, 0, 1, 0, 1397
A2S4YDJ9UGAXFQ,  150, 062, 0, 0, 1, 2688
A2S4YDJ9UGAXFQ,  150, 076, 0, 0, 1, 1023
A2S4YDJ9UGAXFQ,  150, 048, 1, 0, 0, 1023
